ticker,name,sector
SSE: 601699,Shanxi Lu'an Environmental Energy Development,
SSE: 601995,China International Capital Corporation,
SSE: 600085,Beijing Tongrentang,
SSE: 601100,Jiangsu Hengli Hydraulic,
SSE: 601800,China Communications Construction Company,
SZSE: 000895,Henan Shuanghui Investment & Development,
SZSE: 002555,37 Interactive Entertainment Network Technology Group,
SZSE: 003816,CGN Power,
SSE: 600489,Zhongjin Gold,
SSE: 601066,China Securities,
SZSE: 000963,Huadong Medicine,
SZSE: 300142,Walvax Biotechnology,
SZSE: 300033,Hithink RoyalFlush Information Network,
SZSE: 000768,AVIC Aircraft,
SSE: 601633,Great Wall Motor,
SZSE: 000786,Beijing New Building Materials Public,
SZSE: 002920,Huizhou Desay SV Automotive,
SSE: 600600,Tsingtao Brewery,
SSE: 601868,China Energy Engineering Corporation,
SZSE: 002648,SATELLITE CHEMICAL,
SSE: 601021,Spring Airlines,
SSE: 603392,BEIJING WANTAI BIOLOGICAL PHARMACY ENTERPRISE,
SZSE: 000301,Jiangsu Eastern Shenghong,
SZSE: 002001,Zhejiang NHU,
SSE: 600741,HUAYU Automotive Systems Company,
SSE: 601336,New China Life Insurance,
SSE: 601689,Ningbo Tuopu Group,
SSE: 688599,Trina Solar,
SZSE: 002812,Yunnan Energy New Material,
SSE: 600346,Hengli Petrochemical,
SZSE: 000983,Shanxi Coking Coal Energy Group,
SSE: 601881,China Galaxy Securities,
SSE: 600588,Yonyou Network Technology,
SSE: 600515,Hainan Airport Infrastructure,
SSE: 601117,China National Chemical Engineering,
SSE: 601838,BANK OF CHENGDU,
SSE: 688126,National Silicon Industry Group,
SZSE: 300450,WUXI LEAD INTELLIGENT EQUIPMENT,
SZSE: 002736,Guosen Securities,
SZSE: 002821,Asymchem Laboratories (Tianjin),
SZSE: 300316,Zhejiang Jingsheng Mechanical & Electrical,
SZSE: 300433,Lens Technology,
SSE: 600176,CHINA JUSHI,
SZSE: 002709,Guangzhou Tinci Materials Technology,
SZSE: 300347,Hangzhou Tigermed Consulting,
SSE: 601618,Metallurgical Corporation of China,
SSE: 601872,China Merchants Energy Shipping,
SZSE: 000408,ZANGGE MINING COMPANY,
SZSE: 002180,Ninestar Corporation,
SZSE: 300661,SG Micro,
SSE: 600372,China Avionics Systems,
SSE: 601898,China Coal Energy,
SSE: 688396,China Resources Microelectronics,
SZSE: 300496,Thunder Software Technology,
SZSE: 000733,China Zhenhua (Group) Science & Technology,
SSE: 601877,Zhejiang Chint Electrics,
SSE: 600233,YTO Express Group,
SZSE: 000999,China Resources Sanjiu Medical & Pharmaceutical,
SSE: 600219,Shandong Nanshan Aluminium,
SZSE: 002007,Hualan Biological Engineering,
SSE: 600023,Zhejiang Zheneng Electric Power,
SZSE: 002074,GUOXUAN HIGH-TECH,
SZSE: 002202,Xinjiang Goldwind Science & Technology,
SZSE: 300759,Pharmaron Beijing,
SSE: 600332,Guangzhou Baiyunshan Pharmaceutical Holdings,
SSE: 603806,HANGZHOU FIRST PV MATERIAL,
SSE: 600362,Jiangxi Copper,
SZSE: 000876,New Hope Liuhe,
SSE: 600183,Shengyi Technology,
SSE: 601607,Shanghai Pharmaceuticals Holding,
SSE: 601799,Changzhou Xingyu Automotive Lighting Systems,
SZSE: 301269,Empyrean Technology,
SSE: 601238,Guangzhou Automobile Group,
SSE: 601878,ZHESHANG SECURITIES,
SSE: 601998,China Citic Bank,
SSE: 600918,Zhongtai Securities,
SZSE: 300999,Yihai Kerry,
SZSE: 300223,Ingenic Semiconductor,
SSE: 603260,Hoshine Silicon Industry,
SSE: 688303,XinJiang Daqo New Energy,
SZSE: 300413,Mango Excellent Media,
SSE: 601615,MingYangSmartEnergyGroup,
SZSE: 002410,Glodon Software,
SSE: 600875,Dongfang Electric Corporation,
SZSE: 002603,Shijiazhuang Yiling Pharmaceutical,
SSE: 600061,SDIC Essence,
SSE: 688223,Jinko Solar,
SSE: 600460,Hangzhou Silan Microelectronics,
SSE: 600803,ENN Ecological Holdings,
SZSE: 300751,Suzhou Maxwell Technologies,
SSE: 600025,HuanengLancang River Hydropower,
SSE: 601319,People's Insurance Company of China,
SZSE: 002841,Guangzhou Shiyuan Electronic Technology Company,
SSE: 600732,Shanghai Aiko Solar Energy,
SSE: 603659,Shanghai Putailai New Energy Technology,
SZSE: 300454,Sangfor Technologies,
SZSE: 300919,CNGR Advanced Material,
SSE: 600132,Chongqing Brewery,
SZSE: 000617,CNPC Capital Company,
SZSE: 300763,Ginlong Technologies,
SZSE: 000069,Shenzhen Overseas Chinese Town Company,
SSE: 600018,Shanghai International Port Group,
SZSE: 000708,CITIC Pacific Special Steel Group,
SZSE: 300628,Yealink Network Technology,
SZSE: 002938,Avary Holding (Shenzhen) Co,
SZSE: 002916,Shennan Circuits,
SSE: 605117,Ningbo Deye Technology,
SSE: 600039,Sichuan Road&Bridge,
SSE: 605499,Eastroc Beverage (Group),
SSE: 603195,GONGNIU GROUP,
SSE: 600754,Shanghai Jin Jiang International Hotels,
SSE: 603899,SHANGHAI M&G STATIONERY,
SSE: 603290,StarPower Semiconductor,
SSE: 603833,Oppein Home Group,
SSE: 601865,Flat Glass Group,
SSE: 688363,Bloomage Biotechnology Corporation,
SZSE: 000877,Xinjiang Tianshan Cement,
SSE: 688065,Cathay Biotech,
SZSE: 300957,Yunnan Botanee Bio-Technology Group,
SSE: 601236,HONGTA SECURITIES,
SSE: 601698,China Satellite Communications,
SSE: 688187,Zhuzhou CRRC Times Electric,
SSE: 688561,Qi An Xin Technology Group,
SSE: 601155,Future Land Holdings,
SSE: 600606,China Development Holdings,
SZSE: 300979,Huali Industrial Group Company,
SSE: 601808,China Oilfield Services,
SSE: 603486,Ecovacs Robotics,
SZSE: 000800,FAW Car,
SSE: 601059,CINDA SECURITIES,
SZSE: 001289,China Longyuan Power Group Limited,
